"Region","District","Name of health care institution","Health care institution address","Latitude","Longitude","Date and time of data actuality (end of reporting interval)","Reporting date","EDRPOU code of health care institution","Number of artificial respirating units in health care institution","Кількість випадків одужання серед осіб із підтвердженим діагнозом COVID-19 протягом звітного періоду","Number of recovery cases among people with confirmed COVID-19 diagnosis during reporting interval","Number of beds adaptated for hospitalization of peolple with suspected SARS-CoV-2 (2019-nCoV) coronavirus infection","Number of peolple with suspected SARS-CoV-2 (2019-nCoV) coronavirus infection, whoes cases wait for laboratory confirmation","Number of peolple with suspected SARS-CoV-2 (2019-nCoV) coronavirus infection, whoes cases registered during reported period","Number of peolple with confirmed COVID-19 diagnosis, affected by SARS-CoV-2 (2019-nCoV) coronavirus infection, who refused hospitalization","Number of peolple with confirmed COVID-19 diagnosis, affected by SARS-CoV-2 (2019-nCoV) coronavirus infection, under medical treatment","Number of peolple with confirmed COVID-19 diagnosis, who refused hospitalization during reporting inteval","Number of people whoes COVID-19 diagnosis confirmed during reporting period","Number of fatal cases among people with confirmed COVID-19 diagnosis during reporting interval","Note","State"
"Вінницька","Крижопільський","КНП ""Крижопільська обласна лікарня інтенсивного лікування""","смт. Крижопіль, вул. Данила Нечая, 10","48.383047974","28.873021153",2020-03-13 09:00:00,2020-03-12,"01982560",0,0,0,4,0,0,0,0,0,0,0,"2 напівбокси  (4 ліжка, з них  2 ліжка інтенсивної терапії)","Не виявлено"
"Вінницька","Крижопільський","КНП ""Крижопільська обласна лікарня інтенсивного лікування""","смт. Крижопіль, вул. Данила Нечая, 10","48.383047974","28.873021153",2020-03-14 09:00:00,2020-03-13,"01982560",0,0,0,4,0,0,0,0,0,0,0,"2 напівбокси  (4 ліжка, з них  2 ліжка інтенсивної терапії)","Не виявлено"
"Вінницька","Крижопільський","КНП ""Крижопільська обласна лікарня інтенсивного лікування""","смт. Крижопіль, вул. Данила Нечая, 10","48.383047974","28.873021153",2020-03-15 09:00:00,2020-03-14,"01982560",0,0,0,4,0,0,0,0,0,0,0,"2 напівбокси  (4 ліжка, з них  2 ліжка інтенсивної терапії)","Не виявлено"
"Вінницька","Крижопільський","КНП ""Крижопільська обласна лікарня інтенсивного лікування""","смт. Крижопіль, вул. Данила Нечая, 10","48.383047974","28.873021153",2020-03-16 09:00:00,2020-03-15,"01982560",0,0,0,4,0,0,0,0,0,0,0,"2 напівбокси  (4 ліжка, з них  2 ліжка інтенсивної терапії)","Не виявлено"
"Вінницька","Крижопільський","КНП ""Крижопільська обласна лікарня інтенсивного лікування""","смт. Крижопіль, вул. Данила Нечая, 10","48.383047974","28.873021153",2020-03-17 09:00:00,2020-03-16,"01982560",0,0,0,4,0,0,0,0,0,0,0,"2 напівбокси  (4 ліжка, з них  2 ліжка інтенсивної терапії)","Не виявлено"
"Вінницька","Крижопільський","КНП ""Крижопільська обласна лікарня інтенсивного лікування""","смт. Крижопіль, вул. Данила Нечая, 10","48.383047974","28.873021153",2020-03-18 09:00:00,2020-03-17,"01982560",0,0,0,4,0,0,0,0,0,0,0,"2 напівбокси  (4 ліжка, з них  2 ліжка інтенсивної терапії)","Не виявлено"
"Вінницька","Піщанський","КНП ""Піщанська центральна районна лікарня""","смт. Піщанка, вул. Центральна,42","48.210431793","28.884156165",2020-02-27 09:00:00,2020-02-26,"01982620",0,0,0,2,0,0,0,0,0,0,0,"1 бокс (2 ліжка)","Не виявлено"
"Вінницька","Піщанський","КНП ""Піщанська центральна районна лікарня""","смт. Піщанка, вул. Центральна,42","48.210431793","28.884156165",2020-02-28 09:00:00,2020-02-27,"01982620",0,0,0,2,0,0,0,0,0,0,0,"1 бокс (2 ліжка)","Не виявлено"
"Вінницька","Піщанський","КНП ""Піщанська центральна районна лікарня""","смт. Піщанка, вул. Центральна,42","48.210431793","28.884156165",2020-03-02 09:00:00,2020-03-01,"01982620",0,0,0,2,0,0,0,0,0,0,0,"1 бокс (2 ліжка)","Не виявлено"
"Вінницька","Піщанський","КНП ""Піщанська центральна районна лікарня""","смт. Піщанка, вул. Центральна,42","48.210431793","28.884156165",2020-03-03 09:00:00,2020-03-02,"01982620",0,0,0,2,0,0,0,0,0,0,0,"1 бокс (2 ліжка)","Не виявлено"
"Вінницька","Піщанський","КНП ""Піщанська центральна районна лікарня""","смт. Піщанка, вул. Центральна,42","48.210431793","28.884156165",2020-03-04 09:00:00,2020-03-03,"01982620",0,0,0,2,0,0,0,0,0,0,0,"1 бокс (2 ліжка)","Не виявлено"
"Вінницька","Піщанський","КНП ""Піщанська центральна районна лікарня""","смт. Піщанка, вул. Центральна,42","48.210431793","28.884156165",2020-03-05 09:00:00,2020-03-04,"01982620",0,0,0,2,0,0,0,0,0,0,0,"1 бокс (2 ліжка)","Не виявлено"
"Вінницька","Піщанський","КНП ""Піщанська центральна районна лікарня""","смт. Піщанка, вул. Центральна,42","48.210431793","28.884156165",2020-03-06 09:00:00,2020-03-05,"01982620",0,0,0,2,0,0,0,0,0,0,0,"1 бокс (2 ліжка)","Не виявлено"
"Вінницька","Піщанський","КНП ""Піщанська центральна районна лікарня""","смт. Піщанка, вул. Центральна,42","48.210431793","28.884156165",2020-03-10 09:00:00,2020-03-09,"01982620",0,0,0,2,0,0,0,0,0,0,0,"1 бокс (2 ліжка)","Не виявлено"
"Вінницька","Піщанський","КНП ""Піщанська центральна районна лікарня""","смт. Піщанка, вул. Центральна,42","48.210431793","28.884156165",2020-03-11 09:00:00,2020-03-10,"01982620",0,0,0,2,0,0,0,0,0,0,0,"1 бокс (2 ліжка)","Не виявлено"
"Вінницька","Піщанський","КНП ""Піщанська центральна районна лікарня""","смт. Піщанка, вул. Центральна,42","48.210431793","28.884156165",2020-03-12 09:00:00,2020-03-11,"01982620",0,0,0,2,0,0,0,0,0,0,0,"1 бокс (2 ліжка)","Не виявлено"
"Вінницька","Піщанський","КНП ""Піщанська центральна районна лікарня""","смт. Піщанка, вул. Центральна,42","48.210431793","28.884156165",2020-03-13 09:00:00,2020-03-12,"01982620",0,0,0,2,0,0,0,0,0,0,0,"1 бокс (2 ліжка)","Не виявлено"
"Вінницька","Піщанський","КНП ""Піщанська центральна районна лікарня""","смт. Піщанка, вул. Центральна,42","48.210431793","28.884156165",2020-03-14 09:00:00,2020-03-13,"01982620",0,0,0,2,0,0,0,0,0,0,0,"1 бокс (2 ліжка)","Не виявлено"
"Вінницька","Піщанський","КНП ""Піщанська центральна районна лікарня""","смт. Піщанка, вул. Центральна,42","48.210431793","28.884156165",2020-03-15 09:00:00,2020-03-14,"01982620",0,0,0,2,0,0,0,0,0,0,0,"1 бокс (2 ліжка)","Не виявлено"
"Вінницька","Піщанський","КНП ""Піщанська центральна районна лікарня""","смт. Піщанка, вул. Центральна,42","48.210431793","28.884156165",2020-03-16 09:00:00,2020-03-15,"01982620",0,0,0,2,0,0,0,0,0,0,0,"1 бокс (2 ліжка)","Не виявлено"
"Вінницька","Піщанський","КНП ""Піщанська центральна районна лікарня""","смт. Піщанка, вул. Центральна,42","48.210431793","28.884156165",2020-03-17 09:00:00,2020-03-16,"01982620",0,0,0,2,0,0,0,0,0,0,0,"1 бокс (2 ліжка)","Не виявлено"
"Вінницька","Піщанський","КНП ""Піщанська центральна районна лікарня""","смт. Піщанка, вул. Центральна,42","48.210431793","28.884156165",2020-03-18 09:00:00,2020-03-17,"01982620",0,0,0,2,0,0,0,0,0,0,0,"1 бокс (2 ліжка)","Не виявлено"
"Вінницька","Ямпільський","КНП ""Ямпільська центральна районна лікарня""","м. Ямпіль, вул. Пирогова,1","48.247685881","28.278572814",2020-02-27 09:00:00,2020-02-26,"01982726",0,0,0,6,0,0,0,0,0,0,0,"2 бокси (6 ліжок, з них  3 ліжка інтенсивної терапії)","Не виявлено"
"Вінницька","Ямпільський","КНП ""Ямпільська центральна районна лікарня""","м. Ямпіль, вул. Пирогова,1","48.247685881","28.278572814",2020-02-28 09:00:00,2020-02-27,"01982726",0,0,0,6,0,0,0,0,0,0,0,"2 бокси (6 ліжок, з них  3 ліжка інтенсивної терапії)","Не виявлено"
"Вінницька","Ямпільський","КНП ""Ямпільська центральна районна лікарня""","м. Ямпіль, вул. Пирогова,1","48.247685881","28.278572814",2020-03-02 09:00:00,2020-03-01,"01982726",0,0,0,6,0,0,0,0,0,0,0,"2 бокси (6 ліжок, з них  3 ліжка інтенсивної терапії)","Не виявлено"
"Вінницька","Ямпільський","КНП ""Ямпільська центральна районна лікарня""","м. Ямпіль, вул. Пирогова,1","48.247685881","28.278572814",2020-03-03 09:00:00,2020-03-02,"01982726",0,0,0,6,0,0,0,0,0,0,0,"2 бокси (6 ліжок, з них  3 ліжка інтенсивної терапії)","Не виявлено"
"Вінницька","Ямпільський","КНП ""Ямпільська центральна районна лікарня""","м. Ямпіль, вул. Пирогова,1","48.247685881","28.278572814",2020-03-04 09:00:00,2020-03-03,"01982726",0,0,0,6,0,0,0,0,0,0,0,"2 бокси (6 ліжок, з них  3 ліжка інтенсивної терапії)","Не виявлено"
"Вінницька","Ямпільський","КНП ""Ямпільська центральна районна лікарня""","м. Ямпіль, вул. Пирогова,1","48.247685881","28.278572814",2020-03-05 09:00:00,2020-03-04,"01982726",0,0,0,6,0,0,0,0,0,0,0,"2 бокси (6 ліжок, з них  3 ліжка інтенсивної терапії)","Не виявлено"
"Вінницька","Ямпільський","КНП ""Ямпільська центральна районна лікарня""","м. Ямпіль, вул. Пирогова,1","48.247685881","28.278572814",2020-03-06 09:00:00,2020-03-05,"01982726",0,0,0,6,0,0,0,0,0,0,0,"2 бокси (6 ліжок, з них  3 ліжка інтенсивної терапії)","Не виявлено"
"Вінницька","Ямпільський","КНП ""Ямпільська центральна районна лікарня""","м. Ямпіль, вул. Пирогова,1","48.247685881","28.278572814",2020-03-10 09:00:00,2020-03-09,"01982726",0,0,0,6,0,0,0,0,0,0,0,"2 бокси (6 ліжок, з них  3 ліжка інтенсивної терапії)","Не виявлено"
"Вінницька","Ямпільський","КНП ""Ямпільська центральна районна лікарня""","м. Ямпіль, вул. Пирогова,1","48.247685881","28.278572814",2020-03-11 09:00:00,2020-03-10,"01982726",0,0,0,6,0,0,0,0,0,0,0,"2 бокси (6 ліжок, з них  3 ліжка інтенсивної терапії)","Не виявлено"
"Вінницька","Ямпільський","КНП ""Ямпільська центральна районна лікарня""","м. Ямпіль, вул. Пирогова,1","48.247685881","28.278572814",2020-03-12 09:00:00,2020-03-11,"01982726",0,0,0,6,0,0,0,0,0,0,0,"2 бокси (6 ліжок, з них  3 ліжка інтенсивної терапії)","Не виявлено"
"Вінницька","Ямпільський","КНП ""Ямпільська центральна районна лікарня""","м. Ямпіль, вул. Пирогова,1","48.247685881","28.278572814",2020-03-13 09:00:00,2020-03-12,"01982726",0,0,0,6,0,0,0,0,0,0,0,"2 бокси (6 ліжок, з них  3 ліжка інтенсивної терапії)","Не виявлено"
"Вінницька","Ямпільський","КНП ""Ямпільська центральна районна лікарня""","м. Ямпіль, вул. Пирогова,1","48.247685881","28.278572814",2020-03-14 09:00:00,2020-03-13,"01982726",0,0,0,6,0,0,0,0,0,0,0,"2 бокси (6 ліжок, з них  3 ліжка інтенсивної терапії)","Не виявлено"
"Вінницька","Ямпільський","КНП ""Ямпільська центральна районна лікарня""","м. Ямпіль, вул. Пирогова,1","48.247685881","28.278572814",2020-03-15 09:00:00,2020-03-14,"01982726",0,0,0,6,0,0,0,0,0,0,0,"2 бокси (6 ліжок, з них  3 ліжка інтенсивної терапії)","Не виявлено"
"Вінницька","Ямпільський","КНП ""Ямпільська центральна районна лікарня""","м. Ямпіль, вул. Пирогова,1","48.247685881","28.278572814",2020-03-16 09:00:00,2020-03-15,"01982726",0,0,0,6,0,0,0,0,0,0,0,"2 бокси (6 ліжок, з них  3 ліжка інтенсивної терапії)","Не виявлено"
"Вінницька","Ямпільський","КНП ""Ямпільська центральна районна лікарня""","м. Ямпіль, вул. Пирогова,1","48.247685881","28.278572814",2020-03-17 09:00:00,2020-03-16,"01982726",0,0,0,6,0,0,0,0,0,0,0,"2 бокси (6 ліжок, з них  3 ліжка інтенсивної терапії)","Не виявлено"
"Вінницька","Ямпільський","КНП ""Ямпільська центральна районна лікарня""","м. Ямпіль, вул. Пирогова,1","48.247685881","28.278572814",2020-03-18 09:00:00,2020-03-17,"01982726",0,0,0,6,0,0,0,0,0,0,0,"2 бокси (6 ліжок, з них  3 ліжка інтенсивної терапії)","Не виявлено"
"Вінницька","-","КНП ""Вінницька міська клінічна лікарня №1""","м. Вінниця, вул. Хмельницьке шосе, 96","49.236347324","28.414002928",2020-02-27 09:00:00,2020-02-26,"05484126",0,0,0,33,0,0,0,0,0,0,0,"5 боксів (12  ліжок, з них 3 ліжка інтенсивної терапії), 7 напівбоксів (21 ліжко)","Не виявлено"
"Вінницька","-","КНП ""Вінницька міська клінічна лікарня №1""","м. Вінниця, вул. Хмельницьке шосе, 96","49.236347324","28.414002928",2020-02-28 09:00:00,2020-02-27,"05484126",0,0,0,33,0,0,0,0,0,0,0,"5 боксів (12  ліжок, з них 3 ліжка інтенсивної терапії), 7 напівбоксів (21 ліжко)","Не виявлено"
"Вінницька","-","КНП ""Вінницька міська клінічна лікарня №1""","м. Вінниця, вул. Хмельницьке шосе, 96","49.236347324","28.414002928",2020-03-02 09:00:00,2020-03-01,"05484126",0,0,0,33,0,0,0,0,0,0,0,"5 боксів (12  ліжок, з них 3 ліжка інтенсивної терапії), 7 напівбоксів (21 ліжко)","Не виявлено"
"Вінницька","-","КНП ""Вінницька міська клінічна лікарня №1""","м. Вінниця, вул. Хмельницьке шосе, 96","49.236347324","28.414002928",2020-03-03 09:00:00,2020-03-02,"05484126",0,0,0,33,0,0,0,0,0,0,0,"5 боксів (12  ліжок, з них 3 ліжка інтенсивної терапії), 7 напівбоксів (21 ліжко)","Не виявлено"
"Вінницька","-","КНП ""Вінницька міська клінічна лікарня №1""","м. Вінниця, вул. Хмельницьке шосе, 96","49.236347324","28.414002928",2020-03-04 09:00:00,2020-03-03,"05484126",0,0,0,33,0,0,0,0,0,0,0,"5 боксів (12  ліжок, з них 3 ліжка інтенсивної терапії), 7 напівбоксів (21 ліжко)","Не виявлено"
"Вінницька","-","КНП ""Вінницька міська клінічна лікарня №1""","м. Вінниця, вул. Хмельницьке шосе, 96","49.236347324","28.414002928",2020-03-05 09:00:00,2020-03-04,"05484126",0,0,0,33,0,0,0,0,0,0,0,"5 боксів (12  ліжок, з них 3 ліжка інтенсивної терапії), 7 напівбоксів (21 ліжко)","Не виявлено"
"Вінницька","-","КНП ""Вінницька міська клінічна лікарня №1""","м. Вінниця, вул. Хмельницьке шосе, 96","49.236347324","28.414002928",2020-03-06 09:00:00,2020-03-05,"05484126",0,0,0,33,0,0,0,0,0,0,0,"5 боксів (12  ліжок, з них 3 ліжка інтенсивної терапії), 7 напівбоксів (21 ліжко)","Не виявлено"
"Вінницька","-","КНП ""Вінницька міська клінічна лікарня №1""","м. Вінниця, вул. Хмельницьке шосе, 96","49.236347324","28.414002928",2020-03-10 09:00:00,2020-03-09,"05484126",0,0,0,33,0,0,0,0,0,0,0,"5 боксів (12  ліжок, з них 3 ліжка інтенсивної терапії), 7 напівбоксів (21 ліжко)","Не виявлено"
"Вінницька","-","КНП ""Вінницька міська клінічна лікарня №1""","м. Вінниця, вул. Хмельницьке шосе, 96","49.236347324","28.414002928",2020-03-11 09:00:00,2020-03-10,"05484126",0,0,0,33,0,0,0,0,0,0,0,"5 боксів (12  ліжок, з них 3 ліжка інтенсивної терапії), 7 напівбоксів (21 ліжко)","Не виявлено"
"Вінницька","-","КНП ""Вінницька міська клінічна лікарня №1""","м. Вінниця, вул. Хмельницьке шосе, 96","49.236347324","28.414002928",2020-03-12 09:00:00,2020-03-11,"05484126",0,0,0,33,0,0,0,0,0,0,0,"5 боксів (12  ліжок, з них 3 ліжка інтенсивної терапії), 7 напівбоксів (21 ліжко)","Не виявлено"
"Вінницька","-","КНП ""Вінницька міська клінічна лікарня №1""","м. Вінниця, вул. Хмельницьке шосе, 96","49.236347324","28.414002928",2020-03-13 09:00:00,2020-03-12,"05484126",0,0,0,33,1,1,0,0,0,0,0,"5 боксів (12  ліжок, з них 3 ліжка інтенсивної терапії), 7 напівбоксів (21 ліжко)","Підозра"
"Вінницька","-","КНП ""Вінницька міська клінічна лікарня №1""","м. Вінниця, вул. Хмельницьке шосе, 96","49.236347324","28.414002928",2020-03-14 09:00:00,2020-03-13,"05484126",0,0,0,33,1,0,0,0,0,0,0,"5 боксів (12  ліжок, з них 3 ліжка інтенсивної терапії), 7 напівбоксів (21 ліжко)","Підозра"
"Вінницька","-","КНП ""Вінницька міська клінічна лікарня №1""","м. Вінниця, вул. Хмельницьке шосе, 96","49.236347324","28.414002928",2020-03-15 09:00:00,2020-03-14,"05484126",0,0,0,33,1,1,0,0,0,0,0,"5 боксів (12  ліжок, з них 3 ліжка інтенсивної терапії), 7 напівбоксів (21 ліжко)","Підозра"
"Вінницька","-","КНП ""Вінницька міська клінічна лікарня №1""","м. Вінниця, вул. Хмельницьке шосе, 96","49.236347324","28.414002928",2020-03-16 09:00:00,2020-03-15,"05484126",0,0,0,33,2,1,0,0,0,0,0,"5 боксів (12  ліжок, з них 3 ліжка інтенсивної терапії), 7 напівбоксів (21 ліжко)","Підозра"
"Вінницька","-","КНП ""Вінницька міська клінічна лікарня №1""","м. Вінниця, вул. Хмельницьке шосе, 96","49.236347324","28.414002928",2020-03-17 09:00:00,2020-03-16,"05484126",0,0,0,33,1,1,0,0,0,0,0,"1. Чоловік, 51 рік. 13.03.2020р. Повернувся з Єгипту. Госпіталізований 16.03.2020р.Швидкий тест на Covid-19 - ПОЗИТИВНО. Зразки матеріалів від хворого направлені у вірусологічну референс лабораторію ДУ «ЦГЗ МОЗ України».","Підозра"
"Вінницька","-","КНП ""Вінницька міська клінічна лікарня №1""","м. Вінниця, вул. Хмельницьке шосе, 96","49.236347324","28.414002928",2020-03-18 09:00:00,2020-03-17,"05484126",0,0,0,33,2,2,0,0,0,0,0,"1. Чоловік, повернувся з Німеччини. 2. Ймовірно контактував з онуком померлої з Житомирщини.","Підозра"
"Вінницька","-","КНП ""Вінницька обласна дитяча інфекційна клінічна лікарня""","м. Вінниця, вул. Київська, 68","49.250053205","28.476839183",2020-02-27 09:00:00,2020-02-26,"34004453",0,0,0,56,0,0,0,0,0,0,0,"5 боксів (25 ліжок), 7 напівбоксів(25 ліжок), 6 реанімаційних ліжок з реанімаційною залою.","Не виявлено"
"Вінницька","-","КНП ""Вінницька обласна дитяча інфекційна клінічна лікарня""","м. Вінниця, вул. Київська, 68","49.250053205","28.476839183",2020-02-28 09:00:00,2020-02-27,"34004453",0,0,0,56,0,0,0,0,0,0,0,"5 боксів (25 ліжок), 7 напівбоксів(25 ліжок), 6 реанімаційних ліжок з реанімаційною залою.","Не виявлено"
"Вінницька","-","КНП ""Вінницька обласна дитяча інфекційна клінічна лікарня""","м. Вінниця, вул. Київська, 68","49.250053205","28.476839183",2020-03-02 09:00:00,2020-03-01,"34004453",0,0,0,56,0,0,0,0,0,0,0,"5 боксів (25 ліжок), 7 напівбоксів(25 ліжок), 6 реанімаційних ліжок з реанімаційною залою.","Не виявлено"
"Вінницька","-","КНП ""Вінницька обласна дитяча інфекційна клінічна лікарня""","м. Вінниця, вул. Київська, 68","49.250053205","28.476839183",2020-03-03 09:00:00,2020-03-02,"34004453",0,0,0,56,0,0,0,0,0,0,0,"5 боксів (25 ліжок), 7 напівбоксів(25 ліжок), 6 реанімаційних ліжок з реанімаційною залою.","Не виявлено"
"Вінницька","-","КНП ""Вінницька обласна дитяча інфекційна клінічна лікарня""","м. Вінниця, вул. Київська, 68","49.250053205","28.476839183",2020-03-04 09:00:00,2020-03-03,"34004453",0,0,0,56,0,0,0,0,0,0,0,"5 боксів (25 ліжок), 7 напівбоксів(25 ліжок), 6 реанімаційних ліжок з реанімаційною залою.","Не виявлено"
"Вінницька","-","КНП ""Вінницька обласна дитяча інфекційна клінічна лікарня""","м. Вінниця, вул. Київська, 68","49.250053205","28.476839183",2020-03-05 09:00:00,2020-03-04,"34004453",0,0,0,56,0,0,0,0,0,0,0,"5 боксів (25 ліжок), 7 напівбоксів(25 ліжок), 6 реанімаційних ліжок з реанімаційною залою.","Не виявлено"
"Вінницька","-","КНП ""Вінницька обласна дитяча інфекційна клінічна лікарня""","м. Вінниця, вул. Київська, 68","49.250053205","28.476839183",2020-03-06 09:00:00,2020-03-05,"34004453",0,0,0,56,0,0,0,0,0,0,0,"5 боксів (25 ліжок), 7 напівбоксів(25 ліжок), 6 реанімаційних ліжок з реанімаційною залою.","Не виявлено"
"Вінницька","-","КНП ""Вінницька обласна дитяча інфекційна клінічна лікарня""","м. Вінниця, вул. Київська, 68","49.250053205","28.476839183",2020-03-10 09:00:00,2020-03-09,"34004453",0,0,0,56,0,0,0,0,0,0,0,"5 боксів (25 ліжок), 7 напівбоксів(25 ліжок), 6 реанімаційних ліжок з реанімаційною залою.","Не виявлено"
"Вінницька","-","КНП ""Вінницька обласна дитяча інфекційна клінічна лікарня""","м. Вінниця, вул. Київська, 68","49.250053205","28.476839183",2020-03-11 09:00:00,2020-03-10,"34004453",0,0,0,56,0,0,0,0,0,0,0,"5 боксів (25 ліжок), 7 напівбоксів(25 ліжок), 6 реанімаційних ліжок з реанімаційною залою.","Не виявлено"
"Вінницька","-","КНП ""Вінницька обласна дитяча інфекційна клінічна лікарня""","м. Вінниця, вул. Київська, 68","49.250053205","28.476839183",2020-03-12 09:00:00,2020-03-11,"34004453",0,0,0,56,0,0,0,0,0,0,0,"5 боксів (25 ліжок), 7 напівбоксів(25 ліжок), 6 реанімаційних ліжок з реанімаційною залою.","Не виявлено"
"Вінницька","-","КНП ""Вінницька обласна дитяча інфекційна клінічна лікарня""","м. Вінниця, вул. Київська, 68","49.250053205","28.476839183",2020-03-13 09:00:00,2020-03-12,"34004453",0,0,0,56,0,0,0,0,0,0,0,"5 боксів (25 ліжок), 7 напівбоксів(25 ліжок), 6 реанімаційних ліжок з реанімаційною залою.","Не виявлено"
"Вінницька","-","КНП ""Вінницька обласна дитяча інфекційна клінічна лікарня""","м. Вінниця, вул. Київська, 68","49.250053205","28.476839183",2020-03-14 09:00:00,2020-03-13,"34004453",0,0,0,56,0,0,0,0,0,0,0,"5 боксів (25 ліжок), 7 напівбоксів(25 ліжок), 6 реанімаційних ліжок з реанімаційною залою.","Не виявлено"
"Вінницька","-","КНП ""Вінницька обласна дитяча інфекційна клінічна лікарня""","м. Вінниця, вул. Київська, 68","49.250053205","28.476839183",2020-03-15 09:00:00,2020-03-14,"34004453",0,0,0,56,0,0,0,0,0,0,0,"5 боксів (25 ліжок), 7 напівбоксів(25 ліжок), 6 реанімаційних ліжок з реанімаційною залою.","Не виявлено"
"Вінницька","-","КНП ""Вінницька обласна дитяча інфекційна клінічна лікарня""","м. Вінниця, вул. Київська, 68","49.250053205","28.476839183",2020-03-16 09:00:00,2020-03-15,"34004453",0,0,0,56,0,0,0,0,0,0,0,"5 боксів (25 ліжок), 7 напівбоксів(25 ліжок), 6 реанімаційних ліжок з реанімаційною залою.","Не виявлено"
